report_pid,title,report_start_time,report_end_time,open_file_date,type,report_owner,commodity
cr002350,"EPC 3, ANNUAL REPORT 1967, REPORT FOR PERIOD OCT-NOV-DEC 1967, COAL ANALYSIES",9/10/1967,30/12/1967,31/01/1973,permit-report-annual,UNKNOWN,coal
cr002546,"ATP 136, REPORT ON PETROLEUM PROSPECTS OF ATP",31/12/1967,31/12/1967,1/01/1971,scientific-or-technical-survey-report,UNKNOWN,petroleum
cr002709,"EPC 12, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1969",1/10/1968,30/03/1969,31/03/1974,permit-report-six-month,UNKNOWN,coal
cr002847,"EPC 59, BLAIR ATHOL, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1969",30/12/1968,29/06/1969,30/06/1974,permit-report-six-month,UNKNOWN,coal
cr002855,"EPC 3, NEBO PROJECT, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1969",30/12/1968,29/06/1969,30/06/1974,permit-report-six-month,THIESS PEABODY MITSUI COAL PTY LTD,coal
cr002888,"EPC 48, REPORT ON OPERATIONS, 1/1/1969-30/6/1969",31/07/1969,31/07/1969,1/08/1974,permit-report-six-month,GRIFFIN QUEENSLAND EXPLORATION N. L.,coal
cr002968,"EPC 3, NEBO PROJECT, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1969",1/07/1969,30/12/1969,31/12/1974,permit-report-six-month,UNKNOWN,coal
cr003018,"EPC 50, TARONG, FINAL REPORT, (REF NO. Q429)",31/12/1989,31/12/1989,1/01/1990,permit-report-final,UNKNOWN,coal
cr003035,"EPC 52, 72, COMBINED MONTHLY REPORT FOR PERIOD 15/2/1970 TO 28/2/1970",14/02/1970,27/02/1970,28/03/1975,permit-report-annual,UNKNOWN,coal
cr003036,"EPC 52, MONTHLY REPORT FOR PERIOD 1/1/1970 TO 31/1/1970",31/12/1969,30/01/1970,3/03/1975,permit-report-annual,UNKNOWN,coal
cr003037,"EPC 52, MONTHLY REPORT FOR PERIOD 1/1/1969 TO 31/1/1970",31/12/1968,30/01/1970,3/03/1975,permit-report-annual,UNKNOWN,coal
cr003038,"EPC 52, MONTHLY REPORT FOR PERIOD 1/1/1968 TO 31/1/1968",31/12/1967,30/01/1968,3/03/1973,permit-report-annual,UNKNOWN,coal
cr003044,"EPC 25, SIRIUS CREEK AREA, BLACKWATER PLANS, SEAM ANALYSIES AND CORE LOGS, 18/11/1968 TO 19/8/1969",17/11/1968,18/08/1969,19/09/1974,permit-report-annual,UNKNOWN,coal
cr003045,"EPC 25, SIRIUS CREEK AREA, BLACKWATER REVISED PLANS MAIN LOWER SEAM 31/1/1970",31/01/1969,30/01/1970,3/03/1975,permit-report-annual,UNKNOWN,coal
cr003046,"EPC 52, 72, COMBINED MONTHLY REPORT FOR PERIOD ENDING 30/4/1970",30/04/1969,29/04/1970,30/05/1975,permit-report-annual,UNKNOWN,coal
cr003060,"EPC 12, ANNUAL REPORT ON INVESTIGATIONS IN TRIAL SHAFT FOR PERIOD ENDING 17/10/1969",17/10/1968,16/10/1969,17/11/1974,permit-report-annual,UNKNOWN,coal
cr003064,"EPC 53, PROGRESS REPORT JUNE 1970",1/06/1969,31/05/1970,1/07/1975,permit-report-annual,UNKNOWN,coal
cr003074,"EPC 52, 72, COMBINED MONTHLY REPORT FOR PERIOD ENDING 31/5/1970",31/05/1969,30/05/1970,1/07/1975,permit-report-annual,UNKNOWN,coal
cr003089,"EPC 10, SOUTH BLACKWATER, ANNUAL REPORT FOR PERIOD ENDING 27/4/1970",27/04/1969,26/04/1970,27/05/1975,permit-report-annual,UNKNOWN,coal
cr003105,"EPC 52, 72, 91, COMBINED MONTHLY REPORT FOR PERIOD ENDING 30/6/1970",30/06/1969,29/06/1970,30/07/1975,permit-report-annual,UNKNOWN,coal
cr003160,"EPC 62, REPORT FOR PERIOD ENDING 31/12/1969, DRILL LOGS",31/12/1968,30/12/1969,31/01/1975,permit-report-annual,UNKNOWN,coal
cr003170,"EPC 48, REPORT FOR PERIOD 1/7/1969 TO 1/1/1970",30/06/1969,31/12/1969,1/02/1975,permit-report-annual,UNKNOWN,coal
cr003171,"EPC 48, REPORT FOR PERIOD 1/1/1970 TO 30/4/1970",31/12/1969,29/04/1970,30/05/1975,permit-report-annual,UNKNOWN,coal
cr003255,"EPC 77, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1970",30/03/1970,29/09/1970,30/09/1975,permit-report-six-month,UNKNOWN,coal
cr003258,"EPC 59, BLAIR ATHOL SCOUT, FINAL REPORT FOR PERIOD MARCH 1969 TO OCTOBER 1969",30/09/1969,30/09/1969,1/10/1969,permit-report-final,UNKNOWN,coal
cr003296,"EPC 62, REPORT ON RECONNAISSANCE DRILLING PROGRAM 1/6/1969 TO 31/7/1970",31/05/1969,30/07/1970,31/08/1975,permit-report-annual,UNKNOWN,coal
cr003297,"EPC 62, REPORT ON RECONNAISSANCE DRILLING PROGRAM, 19/10/1970",19/10/1969,18/10/1970,19/11/1975,permit-report-annual,UNKNOWN,coal
cr003304,"EPC 89, REPORT FOR PERIOD 1/4/1970 TO 30/9/1970, INCLUDING CAPELLA BORELOGS & PLANS",31/03/1970,29/09/1970,30/09/1975,permit-report-six-month,UNKNOWN,coal
cr003306,"EPC 75, REPORT ON THE TARONG COAL DEPOSITS, 9/11/1970",9/11/1969,8/11/1970,9/12/1975,permit-report-annual,UNKNOWN,coal
cr003307,"EPC 48, 61, COMBINED SIX MONTHLY REPORT FOR PERIOD ENDING 31/10/1970, (EPC 48), AND 31/12/1970, (EPC 61)",30/10/1970,30/12/1970,31/12/1975,permit-report-six-month,UNKNOWN,coal
cr003352,"EPC 24, THEODORE, REPORT ON AN INTENSIVE PROGRAM OF TESTING FOR PERIOD 1/3/1967 TO 1/5/1967",28/02/1967,30/04/1967,1/06/1972,permit-report-annual,UNKNOWN,coal
cr003420,"EPC 62, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1970",1/07/1970,30/12/1970,31/12/1975,permit-report-six-month,UNKNOWN,coal
cr003441,"EPC 73, COLLINSVILLE, ANNUAL REPORT FOR PERIOD ENDING 28/7/1970",28/07/1969,27/07/1970,28/08/1975,permit-report-annual,UNKNOWN,coal
cr003442,"EPC 73, COLLINSVILLE, REPORT ON PRELIMINARY ASSESSMENT OF COAL POTENTIAL FOR PERIOD ENDING 28/2/1971",28/02/1970,27/02/1971,28/03/1976,permit-report-annual,UNKNOWN,coal
cr003450,BLACKWATER NO 10 BORE SEAMS 10A & 10B OCTOBER 1969,1/10/1968,30/09/1969,1/11/1974,permit-report-annual,UNKNOWN,coal
cr003452,"EPC 3, NEBO PROJECT, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1970",30/12/1969,29/06/1970,30/06/1975,permit-report-six-month,UNKNOWN,coal
cr003454,"EPC 3, NEBO PROJECT, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1970",1/07/1970,30/12/1970,31/12/1975,permit-report-six-month,UNKNOWN,coal
cr003469,"EPC 24, NORTH THEODORE, TWO PLANS ACCOMPANYING SIX MONTHLY REPORT FOR PERIOD ENDING 30/10/1970",30/04/1970,29/10/1970,30/10/1975,permit-report-six-month,UNKNOWN,coal
cr003574,"EPC 52, 87, 91, COMBINED MONTHLY REPORT FOR PERIOD ENDING 31/1/1971",31/01/1970,30/01/1971,2/03/1976,permit-report-annual,UNKNOWN,coal
cr003575,"EPC 52, MONTHLY REPORT FOR PERIOD 1/2/1971 TO 28/2/1971",31/01/1971,27/02/1971,28/03/1976,permit-report-annual,UNKNOWN,coal
cr003576,"EPC 52, 91, COMBINED MONTHLY REPORT FOR PERIOD ENDING 31/3/1971",31/03/1970,30/03/1971,1/05/1976,permit-report-annual,UNKNOWN,coal
cr003579,"EPC 59, FINAL REPORT, BLAIR ATHOL ROTARY DRILLING TO DELINEATE THE 10FT ISOPACH ON THE BIG SEAM MARCH-OCTOBER 1969",28/02/1969,30/10/1969,31/10/1969,permit-report-final,UNKNOWN,coal
cr003604,"EPC 10, REPORT FOR PERIOD ENDING 30/4/1971, A, B SOUTH BLACKWATER TECHNICAL SUBMISSION FOR PROPOSED INCREASE ANNUAL COKING COAL PRODUCTION FROM 1.5 TO 2.5 MILLION TONS",30/04/1970,29/04/1971,30/05/1976,permit-report-annual,UNKNOWN,coal
cr003606,"EPC 52, CAPELLA EXPLORATION FOR & EVALUATION OF COKING COAL DEPOSITS FOR PERIOD ENDING 31/12/1970",31/12/1969,30/12/1970,31/01/1976,permit-report-annual,UNKNOWN,coal
cr003615,"EPC 3, NEBO, REPORT ON COAL RESOURCES AMENABLE TO OPEN-CUT MINING, JULY 1971",1/07/1970,30/06/1971,1/08/1976,permit-report-annual,UNKNOWN,coal
cr003620,"EPC 48, SIX MONTHLY REPORT FOR PERIOD ENDING 30/4/1971",30/10/1970,29/04/1971,30/04/1976,permit-report-six-month,UNKNOWN,coal
cr003627,"EPC 59, BLAIR ATHOL REPORT ON AREA RELINQUISHED 31/12/1969 A H OSMAN",30/12/1969,30/12/1969,31/12/1969,permit-report-partial-relinquishment,UNKNOWN,coal
cr003640,"EPC 89, CAPELLA, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1971, CAPELLA BORELOGS & PLANS TO ACCOMPANY SIX MONTHLY REPORT",1/10/1970,30/03/1971,31/03/1976,permit-report-six-month,UNKNOWN,coal
cr003685,"EPC 61, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1970",30/12/1969,29/06/1970,30/06/1975,permit-report-six-month,UNKNOWN,coal
cr003695,"EPC 62, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1971",30/12/1970,29/06/1971,30/06/1976,permit-report-six-month,UNKNOWN,coal
cr003697,"EPC 62, NEBO, GEOLOGICAL REPORT FOR PERIOD 30/9/1970 TO 1/11/1970",29/09/1970,31/10/1970,1/12/1975,permit-report-annual,UNKNOWN,coal
cr003698,"EPC 77, BRIGALOW, REPORT FOR 9 MONTH PERIOD ENDING 30/6/1971",30/06/1970,29/06/1971,30/07/1976,permit-report-annual,UNKNOWN,coal
cr003719,"EPC 3, NEBO PROJECT, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1971, WITH BORE LOGS",30/12/1970,29/06/1971,30/06/1976,permit-report-six-month,UNKNOWN,coal
cr003730,"EPC 59, BLAIR ATHOL, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1970",30/12/1969,29/06/1970,30/06/1975,permit-report-six-month,UNKNOWN,NA
cr003731,"EPC 59, BLAIR ATHOL, ANNUAL REPORT FOR TWO YEAR PERIOD ENDING 31/12/1970",31/12/1968,30/12/1970,31/01/1976,permit-report-annual,UNKNOWN,coal
cr003732,"EPC 59, BLAIR ATHOL, SIX MONTHLY REPORT FOR PERIOD ENDING 30/6/1971",30/12/1970,29/06/1971,30/06/1976,permit-report-six-month,UNKNOWN,NA
cr003739,"EPC 77, ANNUAL REPORT FOR PERIOD ENDING 30/9/1971",30/09/1970,29/09/1971,30/10/1976,permit-report-annual,UNKNOWN,coal
cr003740,"EPC 67, SIX MONTHLY REPORT FOR PERIOD ENDING 30/11/1970, PLANS SHOWING STRUCTURAL DEFINITION DRILLING GOONYELLA & PEAK DOWNS",30/05/1970,29/11/1970,30/11/1975,permit-report-six-month,UNKNOWN,coal
cr003777,"EPC 53, PROGRESS REPORT OCTOBER 1971",1/10/1970,30/09/1971,1/11/1976,permit-report-annual,UNKNOWN,coal
cr003783,"EPC 108, CALLIDE, PRELIMINARY REPORT FOR PERIOD ENDING 30/6/1971",30/06/1970,29/06/1971,30/07/1976,permit-report-annual,UNKNOWN,coal
cr003785,"EPC 52, CAPELLA, (IN PART) SIX MONTHLY REPORT FOR PERIOD ENDING 31/5/1971, (VOL I TEXT, PLANS & APPENDIX; VOL II, APPENDICES C & D)",1/12/1970,30/05/1971,31/05/1976,permit-report-six-month,UNKNOWN,coal
cr003840,"EPC 75, REPORT ON EIGHT INCH CORING OF THE TARONG COAL DEPOSITS FOR PERIOD ENDING 29/7/1971",29/07/1970,28/07/1971,29/08/1976,permit-report-annual,UNKNOWN,coal
cr003856,"EPC 48, SIX MONTHLY REPORT FOR PERIOD ENDING 31/10/1971",1/05/1971,30/10/1971,31/10/1976,permit-report-six-month,UNKNOWN,coal
cr003861,"EPC 89, CAPELLA, ANNUAL REPORT ON INVESTIGATIONS FOR PERIOD ENDING 31/3/1971",31/03/1970,30/03/1971,1/05/1976,permit-report-annual,UNKNOWN,coal
cr003862,"EPC 89, CAPELLA, PLANS ACCOMPANYING CR. 3861",1/01/1970,31/12/1970,1/02/1976,permit-report-annual,UNKNOWN,coal
cr003870,"EPC 24, THEODORE, REPORT FOR PERIOD 1/6/1966 TO 30/7/1971",31/05/1966,29/07/1971,30/08/1976,permit-report-annual,UNKNOWN,coal
cr003874,"EPC 62, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1971",1/07/1971,30/12/1971,31/12/1976,permit-report-six-month,UNKNOWN,coal
cr003875,"EPC 73, EASTERN CREEK, ANNUAL REPORT FOR PERIOD ENDING 29/7/1971",29/07/1970,28/07/1971,29/08/1976,permit-report-annual,UNKNOWN,coal
cr003884,"EPC 57, ROLLESTON, SIX MONTHLY REPORT FOR PERIOD ENDING 31/10/1971",1/05/1971,30/10/1971,31/10/1976,permit-report-six-month,UNKNOWN,coal
cr003897,"EPC 17, INTERIM REPORT ON DRILLING FOR PERIOD 25/11/1971 TO 26/1/1972",24/11/1971,25/01/1972,26/02/1977,permit-report-annual,UNKNOWN,coal
cr003907,"EPC 61, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1971",1/07/1971,30/12/1971,31/12/1976,permit-report-six-month,UNKNOWN,coal
cr003908,"EPC 3, NEBO PROJECT, SIX MONTHLY REPORT FOR PERIOD ENDING 31/12/1971",1/07/1971,30/12/1971,31/12/1976,permit-report-six-month,UNKNOWN,coal
cr003922,"EPC 102, CHINCHILLA, SIX MONTHLY REPORT FOR PERIOD ENDING 7/11/1971",7/05/1971,6/11/1971,7/11/1976,permit-report-six-month,UNKNOWN,coal
cr003930,"EPC 52, CAPELLA, SIX MONTHLY REPORT FOR PERIOD ENDING 30/11/1971",30/05/1971,29/11/1971,30/11/1976,permit-report-six-month,UNKNOWN,coal
cr003984,"EPC 12, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1971",30/03/1971,29/09/1971,30/09/1976,permit-report-six-month,UNKNOWN,coal
cr003991,"EPC 77, BRIGALOW, SIX MONTHLY REPORT FOR PERIOD ENDING 31/3/1972",1/10/1971,30/03/1972,31/03/1977,permit-report-six-month,UNKNOWN,coal
cr003992,"EPC 67, PARTIAL RELINQUISHMENT REPORT FOR PERIOD ENDING 1/1/1972",31/12/1971,31/12/1971,1/01/1972,permit-report-partial-relinquishment,UNKNOWN,coal
cr003993,"EPC 57, ROLLESTON, REPORT, ANNUAL REPORT FOR PERIOD ENDING 1/11/1971",1/11/1970,31/10/1971,1/12/1976,permit-report-annual,UNKNOWN,coal
cr003995,"EPC 57, ROLLESTON, GRAPHIC LOGS, 18/3/1971",18/03/1970,17/03/1971,18/04/1976,permit-report-annual,UNKNOWN,coal
cr004019,"EPC 10, BLACKWATER SOUTH COLLIERY, REPORT ON GEOLOGICAL & COAL QUALITY INVESTIGATION & PROPOSED MINE DEVELOPMENT FOR COKING COAL PRODUCTION FOR ARIES & POLLUX SEAMS, 1/5/1972",1/05/1971,30/04/1972,1/06/1977,permit-report-annual,UNKNOWN,coal
cr004070,"NTR 49, MOURA FRANCHISE AREA, MOURA-KIANGA EXPLORATION REPORT 1971",31/12/1971,31/12/1971,1/01/1977,petroleum-report-other,THIESS PEABODY MITSUI COAL PTY LTD,coal
cr004083,"EPC 48, SIX MONTHLY REPORT FOR PERIOD ENDING 30/4/1972",30/10/1971,29/04/1972,30/04/1977,permit-report-six-month,GRIFFIN QUEENSLAND EXPLORATION N. L.,coal
cr004127,"EPC 24, THEODORE, REPORT FOR PERIOD ENDING 31/7/1972",31/07/1971,30/07/1972,31/08/1977,permit-report-annual,UNKNOWN,coal
cr004162,"EPC 62, SUMMARY OF COAL RESERVES PROVED FOR PERIOD ENDING 31/8/1972",31/08/1971,30/08/1972,1/10/1977,permit-report-annual,UNKNOWN,coal
cr004164,"EPC 17, PROGRESS REPORT ON THE STEAMING COAL RESOURCES FOR PERIOD ENDING 30/6/1972",30/06/1971,29/06/1972,30/07/1977,permit-report-annual,UNKNOWN,coal
cr004173,"EPC 73, SIX MONTHLY REPORT FOR PERIOD ENDING 31/5/1972",1/12/1971,30/05/1972,31/05/1977,permit-report-six-month,UNKNOWN,coal
cr004180,"EPC 52, CAPELLA, SIX MONTHLY REPORT FOR PERIOD ENDING 31/5/1972",1/12/1971,30/05/1972,31/05/1977,permit-report-six-month,UNKNOWN,coal
cr004182,"EPC 77, BRIGALOW, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1972",30/03/1972,29/09/1972,30/09/1977,permit-report-six-month,UNKNOWN,coal
cr004196,"EPC 3, NEBO SUMMARY OF FEASIBILITY STUDY MINING INFRASTRUCTURE MARCH 1972",1/03/1971,29/02/1972,1/04/1977,permit-report-annual,UNKNOWN,coal
cr004202,"EPC 102, CHINCHILLA, SIX MONTHLY REPORT FOR PERIOD ENDING 8/5/1972",8/11/1971,7/05/1972,8/05/1977,permit-report-six-month,UNKNOWN,coal
cr004206,"EPC 105, WANDOAN, SIX MONTHLY REPORT FOR PERIOD 8/11/1971 TO 8/5/1972",7/11/1971,7/05/1972,8/05/1977,permit-report-six-month,UNKNOWN,coal
cr004227,"EPC 108, CALLIDE, INTERIM REPORT FOR PERIOD ENDING 30/6/1972",30/06/1971,29/06/1972,30/07/1977,permit-report-annual,UNKNOWN,coal
cr004230,"EPC 52, CAPELLA, GEOLOGY & EVALUATION OF COAL DEPOSITS, MAY 1972",1/05/1971,30/04/1972,1/06/1977,permit-report-annual,UNKNOWN,coal
cr004272,"EPC 12, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1972, (INCLUDES BLACKWATER BORELOGS 97-101 & SECTION ANALYSIES OF GEMINI SEAM)",30/03/1972,29/09/1972,30/09/1977,permit-report-six-month,UNKNOWN,coal
cr004273,"EPC 12, BLACKWATER, AN APPRAISAL OF GEOLOGICAL DATA IN THE AREA SURROUNDING COOK COLLIERY, 1/8/1970 TO 1/7/1971",31/07/1970,30/06/1971,1/08/1976,permit-report-annual,UNKNOWN,coal
cr004274,"EPC 89, CAPELLA, SIX MONTHLY REPORT FOR PERIOD ENDING 30/9/1972, (INCLUDING CAPELLA BORE LOGS 307 & 1004-1009)",30/03/1972,29/09/1972,30/09/1977,permit-report-six-month,UNKNOWN,coal
cr004286,"CHARTERS TOWERS MOTHER LODE, MOUNT WRIGHT, (A) REPORT DATED 151/1973, (B) APPENDIX I - REPORT ON THE INDUCED POLARIZATION AND RESISTIVITY SURVEY (C) GEOCHEMICAL RESULTS AND PLANS",1/01/1972,31/12/1972,1/02/1978,permit-report-annual,UNKNOWN,gold
